osmid,x,y
906540493,77.3181576,28.6212606
906540497,77.3082699,28.6220682
906540513,77.3052999,28.6217532
906540514,77.3105366,28.6216052
906540531,77.3180143,28.6166608
906540535,77.3167509,28.6253902
906540543,77.3063421,28.6232548
906540555,77.3164085,28.6213072
906540561,77.3116581,28.6222831
906540570,77.3073949,28.6219697
906540580,77.3168701,28.6194944
906540590,77.317462,28.6177329
906540593,77.3095808,28.6228701
906690213,77.3140683,28.6097323
906690227,77.2990111,28.5905594
906690241,77.3135904,28.6087962
906690281,77.3146629,28.6099146
906690326,77.3141593,28.6094906
906690332,77.3150887,28.6096493
906690339,77.3136689,28.6085639
906690358,77.3147553,28.609664
906690366,77.3143415,28.6090172
906690368,77.3133258,28.6095048
906690404,77.3145904,28.6090904
906690530,77.3148523,28.6094133
906690531,77.2990892,28.5904677
906690536,77.3143882,28.6095558
906690580,77.3011951,28.593102
906690645,77.3142537,28.6092423
906690679,77.3142931,28.6098012
906690691,77.301264,28.5930688
906690726,77.3144877,28.6093091
906690736,77.3135023,28.6090278
906690744,77.3157834,28.6105074
906690777,77.3156219,28.610308
906690803,77.3134153,28.6092613
906711311,77.3048705,28.5987932
906711317,77.3075124,28.6003058
906711319,77.3038368,28.6014622
906711388,77.3021441,28.6038953
906711390,77.3048233,28.6038279
906711394,77.3031512,28.601257
906711395,77.3066154,28.6022939
906711399,77.304675,28.6004546
906711455,77.3058574,28.6011683
906711457,77.3057224,28.6072583
906711459,77.307071,28.600093
906711461,77.3043312,28.6001679
906711464,77.3074646,28.6077712
906711465,77.304601,28.5994669
906711466,77.3044309,28.5986662
906711527,77.3070109,28.6024123
906711529,77.3050934,28.6089148
906711532,77.3061063,28.5987021
906711539,77.3078309,28.6067786
906711541,77.3072912,28.6011463
906711543,77.3051732,28.6059793
906711544,77.3048882,28.6036539
906711598,77.3072457,28.6083593
906711600,77.3049572,28.6034943
906711603,77.3036661,28.603105
906711608,77.307143,28.6035804
906711667,77.3043706,28.6031345
906711671,77.3051516,28.5979235
906711673,77.3058339,28.6043204
906711674,77.3060293,28.6038176
906711676,77.3031251,28.6033231
906711730,77.3042732,28.6003142
906711731,77.3071954,28.6024675
906711733,77.3057717,28.5995565
906711734,77.3036359,28.6019735
906711735,77.3050161,28.6033278
906711743,77.3064976,28.6052303
906711745,77.3077267,28.6011096
906711746,77.3058063,28.5994681
906711802,77.3068834,28.6005559
906711803,77.3054049,28.6004933
906711806,77.3037784,28.5996379
906711808,77.310635,28.6046469
906711872,77.3041775,28.6036358
906711875,77.3045681,28.6026338
906711877,77.3073907,28.602526
